Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chinesesimp,
STR_kr_weapons_attachments_hk416_hguard_hk_mrs_keymod_raild,** MRS KeyMod HK416 hguard,** MRS KeyMod HK416 hguard,** Hguard MRS KeyMod HK416,** MRS KeyMod HK416 hguard,** Цевье HK416 MRS KeyMod,** Osłona MRS KeyMod HK416,** MRS KeyMod HK416 hguard,** MRS KeyMod HK416 guardia,** MRS KeyMod HK416 hguard,** MRS KeyMod HK416 hguard,** MRS KeyMod HK416 hguard,** MRS KeyMod HK416 hガード,** SRA KeyMod HK416 hguard,** MRS KeyMod HK416 hguard,
STR_kr_weapons_attachments_hk416_hguard_hk_mrs_keymod,MRS KeyMod HK416 hguard,MRS KeyMod HK416 hguard,Hguard MRS KeyMod HK416,MRS KeyMod HK416 hguard,Цевье HK416 MRS KeyMod,Osłona MRS KeyMod HK416,MRS KeyMod HK416 hguard,MRS KeyMod HK416 guardia,MRS KeyMod HK416 hguard,MRS KeyMod HK416 hguard,MRS KeyMod HK416 hguard,MRS KeyMod HK416 hガード,MRS KeyMod HK416 hguard,MRS KeyMod HK416 hguard,
STR_kr_weapons_attachments_hk416_hguard_hk_mrs_keymod_dsc,The HK MRS KeyMod handguard for 416A5 equipped with a KeyMod interface for the installation of additional devices and accessories.,The HK MRS KeyMod handguard for 416A5 equipped with a KeyMod interface for the installation of additional devices and accessories.,Předpažbí HK MRS KeyMod pro 416A5 vybavené rozhraním KeyMod pro instalaci přídavných zařízení a příslušenství.,Der HK MRS KeyMod-Handschutz für 416A5 ist mit einer KeyMod-Schnittstelle für den Einbau zusätzlicher Geräte und Zubehör ausgestattet.,Цевьё для 416A5 производства HK снабженное интерфейсом стандарта keymod для крепления дополнительного оборудования. ,Łoże HK MRS KeyMod do 416A5 wyposażone w interfejs KeyMod umożliwiający montaż dodatkowych urządzeń i akcesoriów.,A HK MRS KeyMod kézvédő 416A5-höz KeyMod interfésszel felszerelt kiegészítő eszközök és tartozékok telepítéséhez.,Il paramano HK MRS KeyMod per 416A5 dotato di un'interfaccia KeyMod per l'installazione di dispositivi e accessori aggiuntivi.,El guardamanos HK MRS KeyMod para 416A5 está equipado con una interfaz KeyMod para la instalación de dispositivos y accesorios adicionales.,Le garde-main HK MRS KeyMod pour 416A5 équipé d'une interface KeyMod pour l'installation d'appareils et d'accessoires supplémentaires.,适用于 416A5 的 HK MRS KeyMod 护木配备了 KeyMod 接口，用于安装附加设备和配件。,416A5 用の HK MRS KeyMod ハンドガードには、追加のデバイスやアクセサリを取り付けるための KeyMod インターフェイスが装備されています。,O protetor de mão HK MRS KeyMod para 416A5 equipado com uma interface KeyMod para a instalação de dispositivos e acessórios adicionais.,适用于 416A5 的 HK MRS KeyMod 护木配备了 KeyMod 接口，用于安装附加设备和配件。,
STR_kr_weapons_attachments_hk416_hguard_midwest_9_raild,** Midwest HK416 hguard,** Midwest HK416 hguard,** Hguard Midwest HK416,** Midwest HK416 Hguard,** Цевье HK416 Midwest,** Osłona Midwest HK416,** Középnyugati HK416 hguard,**Guardia Midwest HK416,** Guardia del Medio Oeste HK416,** Garde-corps Midwest HK416,** 中西部 HK416 hguard,** 中西部 HK416 hガード,** Centro-Oeste HK416 hguard,** 中西部 HK416 hguard,
STR_kr_weapons_attachments_hk416_hguard_midwest_9,Midwest HK416 hguard,Midwest HK416 hguard,Hguard Midwest HK416,Midwest HK416 hguard,Цевье HK416 Midwest,Osłona Midwest HK416,Középnyugati HK416 hguard,Guardia del Midwest HK416,Midwest HK416 hguard,Garde-corps Midwest HK416,中西部 HK416 hguard,中西部 HK416 hガード,Guarda Centro-Oeste HK416,中西部 HK416 hguard,
STR_kr_weapons_attachments_hk416_hguard_midwest_9_dsc,Midwest M-LOK foregrip for 416A5 equipped with a M-LOK interface for installation of additional devices and accessories.,Midwest M-LOK foregrip for 416A5 equipped with a M-LOK interface for installation of additional devices and accessories.,Předpažbí Midwest M-LOK pro 416A5 vybavené rozhraním M-LOK pro instalaci přídavných zařízení a příslušenství.,"Midwest M-LOK-Vordergriff für 416A5, ausgestattet mit einer M-LOK-Schnittstelle für die Installation zusätzlicher Geräte und Zubehör.",Цевьё для 416A5 производства Midwest снабженное интерфейсом стандарта M-LOK для крепления дополнительного оборудования. ,Przedni chwyt Midwest M-LOK do 416A5 wyposażony w interfejs M-LOK umożliwiający montaż dodatkowych urządzeń i akcesoriów.,"Középnyugati M-LOK elülső markolat 416A5-höz, M-LOK interfésszel felszerelt kiegészítő eszközök és tartozékok felszereléséhez.",Impugnatura Midwest M-LOK per 416A5 dotata di interfaccia M-LOK per l'installazione di dispositivi e accessori aggiuntivi.,Empuñadura delantera Midwest M-LOK para 416A5 equipada con una interfaz M-LOK para la instalación de dispositivos y accesorios adicionales.,Poignée avant Midwest M-LOK pour 416A5 équipée d'une interface M-LOK pour l'installation d'appareils et d'accessoires supplémentaires.,适用于 416A5 的 Midwest M-LOK 前握把配备 M-LOK 接口，用于安装附加设备和配件。,追加のデバイスやアクセサリーを取り付けるための M-LOK インターフェイスを備えた 416A5 用ミッドウェスト M-LOK フォアグリップ。,Foregrip Midwest M-LOK para 416A5 equipado com interface M-LOK para instalação de dispositivos e acessórios adicionais.,适用于 416A5 的 Midwest M-LOK 前握把配备 M-LOK 接口，用于安装附加设备和配件。,
STR_kr_weapons_attachments_hk416_hguard_midwest_13_5_raild,** Midwest HK416 hguard,** Midwest HK416 hguard,** Hguard Midwest HK416,** Midwest HK416 Hguard,** Цевье HK416 Midwest,** Osłona Midwest HK416,** Középnyugati HK416 hguard,**Guardia Midwest HK416,** Guardia del Medio Oeste HK416,** Garde-corps Midwest HK416,** 中西部 HK416 hguard,** 中西部 HK416 hガード,** Centro-Oeste HK416 hguard,** 中西部 HK416 hguard,
STR_kr_weapons_attachments_hk416_hguard_midwest_13_5,Midwest HK416 hguard,Midwest HK416 hguard,Hguard Midwest HK416,Midwest HK416 hguard,Цевье HK416 Midwest,Osłona Midwest HK416,Középnyugati HK416 hguard,Guardia del Midwest HK416,Midwest HK416 hguard,Garde-corps Midwest HK416,中西部 HK416 hguard,中西部 HK416 hガード,Guarda Centro-Oeste HK416,中西部 HK416 hguard,
STR_kr_weapons_attachments_hk416_hguard_midwest_13_5_dsc,Midwest M-LOK foregrip for 416A5 equipped with a M-LOK interface for installation of additional devices and accessories.,Midwest M-LOK foregrip for 416A5 equipped with a M-LOK interface for installation of additional devices and accessories.,Předpažbí Midwest M-LOK pro 416A5 vybavené rozhraním M-LOK pro instalaci přídavných zařízení a příslušenství.,"Midwest M-LOK-Vordergriff für 416A5, ausgestattet mit einer M-LOK-Schnittstelle für die Installation zusätzlicher Geräte und Zubehör.",Цевьё для 416A5 производства Midwest снабженное интерфейсом стандарта M-LOK для крепления дополнительного оборудования. ,Przedni chwyt Midwest M-LOK do 416A5 wyposażony w interfejs M-LOK umożliwiający montaż dodatkowych urządzeń i akcesoriów.,"Középnyugati M-LOK elülső markolat 416A5-höz, M-LOK interfésszel felszerelt kiegészítő eszközök és tartozékok felszereléséhez.",Impugnatura Midwest M-LOK per 416A5 dotata di interfaccia M-LOK per l'installazione di dispositivi e accessori aggiuntivi.,Empuñadura delantera Midwest M-LOK para 416A5 equipada con una interfaz M-LOK para la instalación de dispositivos y accesorios adicionales.,Poignée avant Midwest M-LOK pour 416A5 équipée d'une interface M-LOK pour l'installation d'appareils et d'accessoires supplémentaires.,适用于 416A5 的 Midwest M-LOK 前握把配备 M-LOK 接口，用于安装附加设备和配件。,追加のデバイスやアクセサリーを取り付けるための M-LOK インターフェイスを備えた 416A5 用ミッドウェスト M-LOK フォアグリップ。,Foregrip Midwest M-LOK para 416A5 equipado com interface M-LOK para instalação de dispositivos e acessórios adicionais.,适用于 416A5 的 Midwest M-LOK 前握把配备 M-LOK 接口，用于安装附加设备和配件。,
STR_kr_weapons_attachments_hk416_hguard_hk_quad_rail,HK416 hguard,HK416 hguard,Hguard HK416,HK416 hguard,Цевье HK416 Quad Rail,Osłona HK416,HK416 hguard,HK416 hguard,HK416 hguard,HK416 garde-corps,HK416护卫,HK416 hガード,Guarda HK416,HK416护卫,
STR_kr_weapons_attachments_hk416_hguard_hk_quad_rail_dsc,Quadrail handguard for 416 and compatables. Comes with a four picatinny rails for attaching wide amount of different accessories. Produced by Heckler and Koch.,Quadrail handguard for 416 and compatables. Comes with a four picatinny rails for attaching wide amount of different accessories. Produced by Heckler and Koch.,Předpažbí Quadrail pro 416 a kompatibilní. Dodává se se čtyřmi lištami Picatinny pro připevnění širokého množství různého příslušenství. Produkce Heckler a Koch.,Quadrail-Handschutz für 416 und kompatible Modelle. Kommt mit vier Picatinny-Schienen zum Anbringen einer Vielzahl unterschiedlicher Zubehörteile. Produziert von Heckler und Koch.,Цевьё Quadrail для 416 и совместимых. Оснащено 4-мя направляющими для установки широкого спектра дополнительного оборудования,Chwyt przedni Quadrail do modelu 416 i kompatybilnych. W zestawie cztery szyny picatinny do mocowania szerokiej gamy różnych akcesoriów. Wyprodukowany przez Hecklera i Kocha.,Quadrail kézvédő 416-hoz és kompatibilisekhez. Négy picatinny sínnel szállítjuk a különféle tartozékok rögzítéséhez. Producer: Heckler és Koch.,Paramano Quadrail per 416 e compatibili. Viene fornito con quattro guide Picatinny per il fissaggio di un'ampia quantità di accessori diversi. Prodotto da Heckler e Koch.,Guardamanos Quadrail para 416 y compatibles. Viene con cuatro rieles picatinny para conectar una gran cantidad de accesorios diferentes. Producida por Heckler y Koch.,Garde-main Quadrail pour 416 et compatibles. Livré avec quatre rails Picatinny pour fixer une grande quantité d'accessoires différents. Produit par Heckler et Koch.,适用于 416 及兼容型号的四轨护木。配有四个皮卡汀尼导轨，用于连接大量不同的配件。由黑克勒和科赫制作。,416 および互換品用のクアドレール ハンドガード。 4 つのピカティニー レールが付属しており、さまざまなアクセサリを取り付けることができます。ヘッケラーとコッホによって制作されました。,Protetor de mão Quadrail para 416 e compatíveis. Vem com quatro trilhos picatinny para fixar uma grande quantidade de acessórios diferentes. Produzido por Heckler e Koch.,适用于 416 及兼容型号的四轨护木。配有四个皮卡汀尼导轨，用于连接大量不同的配件。由黑克勒和科赫制作。,
STR_kr_weapons_attachments_hk416_hguard_hk_quad_rail_extended,Quad Rail Ext. HK416 hguard,Quad Rail Ext. HK416 hguard,Čtyřkolejnice Ext. Hguard HK416,Quad-Rail-Ext. HK416 hguard,Цевье HK416 Quad Rail Ext,Poczwórna szyna zewnętrzna Osłona HK416,Quad Rail Ext. HK416 hguard,Quad Rail est. HK416 hguard,Extensión de carril cuádruple. HK416 hguard,Extension à quatre rails. HK416 garde-corps,四轨扩展。 HK416护卫,クワッドレール延長HK416 hガード,Ext. de trilho quádruplo. Guarda HK416,四轨扩展。 HK416护卫,
STR_kr_weapons_attachments_hk416_hguard_hk_quad_rail_extended_dsc,Extended length quadrail handguard for 416 and compatables. Comes with a four picatinny rails for attaching wide amount of different accessories. Produced by Heckler and Koch.,Extended length quadrail handguard for 416 and compatables. Comes with a four picatinny rails for attaching wide amount of different accessories. Produced by Heckler and Koch.,Prodloužená délka quadrail předpažbí pro 416 a kompatibilní. Dodává se se čtyřmi lištami Picatinny pro připevnění širokého množství různého příslušenství. Produkce Heckler a Koch.,Quadrail-Handschutz mit verlängerter Länge für 416 und kompatible Modelle. Kommt mit vier Picatinny-Schienen zum Anbringen einer Vielzahl unterschiedlicher Zubehörteile. Produziert von Heckler und Koch.,Цевьё Quadrail для 416 и совместимых. Оснащено 4-мя направляющими для установки широкого спектра дополнительного оборудования,Przedni chwyt czteroszynowy o zwiększonej długości do modelu 416 i kompatybilnych. W zestawie cztery szyny picatinny do mocowania szerokiej gamy różnych akcesoriów. Wyprodukowany przez Hecklera i Kocha.,Meghosszabbított quadrail kézvédő 416-hoz és kompatibilisekhez. Négy picatinny sínnel szállítjuk a különféle tartozékok rögzítéséhez. Producer: Heckler és Koch.,Paramano quadrangolare di lunghezza estesa per 416 e compatibili. Viene fornito con quattro guide Picatinny per il fissaggio di un'ampia quantità di accessori diversi. Prodotto da Heckler e Koch.,Guardamanos cuádruple de longitud extendida para 416 y compatibles. Viene con cuatro rieles picatinny para conectar una gran cantidad de accesorios diferentes. Producida por Heckler y Koch.,Garde-main quadrail de longueur étendue pour 416 et compatibles. Livré avec quatre rails Picatinny pour fixer une grande quantité d'accessoires différents. Produit par Heckler et Koch.,适用于 416 及兼容型号的加长四轨护木。配有四个皮卡汀尼导轨，用于连接大量不同的配件。由黑克勒和科赫制作。,416 および互換品用の延長された長さのクアッドレール ハンドガード。 4 つのピカティニー レールが付属しており、さまざまなアクセサリを取り付けることができます。ヘッケラーとコッホによって制作されました。,Protetor de mão quadrail de comprimento estendido para 416 e compatíveis. Vem com quatro trilhos picatinny para fixar uma grande quantidade de acessórios diferentes. Produzido por Heckler e Koch.,适用于 416 及兼容型号的加长四轨护木。配有四个皮卡汀尼导轨，用于连接大量不同的配件。由黑克勒和科赫制作。,
STR_kr_weapons_attachments_mk18_handguard_raild,** MK18 hguard,** MK18 hguard,** Hguard MK18,** MK18 Hguard,** Цевье MK18,** Osłona MK18,** MK18 hguard,**Protezione MK18,** MK18 hguard,** Garde-corps MK18,** MK18 护卫,** MK18 hガード,** Guarda MK18,** MK18 护卫,
STR_kr_weapons_attachments_mk18_handguard,MK18 hguard,MK18 hguard,Hguard MK18,MK18 Hguard,Цевье MK18,Osłona MK18,MK18 hguard,MK18 hguard,MK18 hguard,Garde-corps MK18,MK18护卫,MK18 hガード,Guarda MK18,MK18护卫,
STR_kr_weapons_attachments_mk18_handguard_dsc,A lightweight 18 inch long M-LOK-compatible handguard for the Mk-18 rifle. Manufactured by SWORD International.,A lightweight 18 inch long M-LOK-compatible handguard for the Mk-18 rifle. Manufactured by SWORD International.,Lehká 18palcová předpažbí kompatibilní s M-LOK pro pušku Mk-18. Výrobce SWORD International.,"Ein leichter, 18 Zoll langer M-LOK-kompatibler Handschutz für das Mk-18-Gewehr. Hergestellt von SWORD International.",Цевьё облегченное снабженное интерфейсом M-LOK для винтовки Mk-18. ,"Lekkie łoże o długości 18 cali, kompatybilne z systemem M-LOK, do karabinu Mk-18. Wyprodukowane przez SWORD International.","Könnyű, 18 hüvelykes M-LOK-kompatibilis kézvédő az Mk-18 puskához. A SWORD International gyártotta.",Un paramano leggero compatibile con M-LOK lungo 18 pollici per il fucile Mk-18. Prodotto da SPADA Internazionale.,Un guardamanos liviano compatible con M-LOK de 18 pulgadas de largo para el rifle Mk-18. Fabricado por SWORD Internacional.,Un protège-main léger de 18 pouces de long compatible M-LOK pour le fusil Mk-18. Fabriqué par SWORD International.,适用于 Mk-18 步枪的轻型 18 英寸长 M-LOK 兼容护木。由 SWORD 国际制造。,Mk-18 ライフル用の軽量 18 インチ長の M-LOK 互換ハンドガード。 SWORDインターナショナル社製。,"Um protetor de mão leve, compatível com M-LOK, de 18 polegadas de comprimento, para o rifle Mk-18. Fabricado pela SWORD Internacional.",适用于 Mk-18 步枪的轻型 18 英寸长 M-LOK 兼容护木。由 SWORD 国际制造。,
STR_kr_weapons_attachments_rpk16_handguard_std_raild,** RPK-16 hguard,** RPK-16 hguard,** Hguard RPK-16,** RPK-16 Hguard,** Цевье РПК-16,** Osłona RPK-16,** RPK-16 hguard,**Guardia RPK-16,** RPK-16 hguard,** Garde-corps RPK-16,** RPK-16 hguard,** RPK-16 hガード,** Guarda RPK-16,** RPK-16 hguard,
STR_kr_weapons_attachments_rpk16_handguard_std,RPK-16 hguard,RPK-16 hguard,Hguard RPK-16,RPK-16 hguard,Цевье РПК-16,Osłona RPK-16,RPK-16 hguard,Guardia RPK-16,RPK-16 hguard,Garde-corps RPK-16,RPK-16 护卫者,RPK-16 hガード,Guarda RPK-16,RPK-16 护卫者,
STR_kr_weapons_attachments_rpk16_handguard_std_dsc,Regular handguard for RPK-16.,Regular handguard for RPK-16.,Běžný předpažbí pro RPK-16.,Regulärer Handschutz für RPK-16.,Цевьё с направляющими для РПК-16. ,Zwykłe łoże do RPK-16.,Normál kézvédő az RPK-16-hoz.,Paramano normale per RPK-16.,Guardamanos normal para RPK-16.,Garde-main régulier pour RPK-16.,RPK-16 的常规护木。,RPK-16用のレギュラーハンドガード。,Protetor de mão regular para RPK-16.,RPK-16 的常规护木。,
STR_kr_weapons_attachments_rpk16_fld_bttstck_tube,RPK-16 stock,RPK-16 stock,Pažba RPK-16,RPK-16-Schaft,Приклад РПК-16,Kolba RPK-16,RPK-16 készlet,Calcio RPK-16,Culata RPK-16,Crosse RPK-16,RPK-16 库存,RPK-16ストック,Estoque RPK-16,RPK-16 库存,
STR_kr_weapons_attachments_rpk16_fld_bttstck_tube_dsc,"A standard buffer tube for RPK-16 LMG, manufactured by Izhmash.","A standard buffer tube for RPK-16 LMG, manufactured by Izhmash.","Standardní pufrovací zkumavka pro RPK-16 LMG, výrobce Izhmash.","Ein Standard-Pufferrohr für RPK-16 LMG, hergestellt von Izhmash.","Труба для установки прикладов производства Ижмаш,устанавливается на РПК-16. ","Standardowa rura buforowa do RPK-16 LMG, wyprodukowana przez firmę Izhmash.","Szabványos puffercső RPK-16 LMG-hez, amelyet az Izhmash gyárt.","Un tubo tampone standard per RPK-16 LMG, prodotto da Izhmash.","Un tubo protector estándar para RPK-16 LMG, fabricado por Izhmash.","Un tube tampon standard pour RPK-16 LMG, fabriqué par Izhmash.",RPK-16 LMG 的标准缓冲管，由 Izhmash 制造。,Izhmash社製、RPK-16 LMG用のスタンダードバッファーチューブです。,"Um tubo tampão padrão para RPK-16 LMG, fabricado pela Izhmash.",RPK-16 LMG 的标准缓冲管，由 Izhmash 制造。,
STR_kr_weapons_attachments_foregrip_bgv_mk46k,Foregrip MK46k,Foregrip MK46k,Předpažbí MK46k,Vordergriff MK46k,Тактическая Рукоятка MK46k,Chwyt przedni MK46k,Előfogantyú MK46k,Impugnatura MK46k,Empuñadura delantera MK46k,Poignée avant MK46k,前握把 MK46k,フォアグリップ MK46k,Foregrip MK46k,前握把 MK46k,
STR_kr_weapons_attachments_foregrip_bgv_mk46k_dsc,Tango Down Stubby BGV-MK46K tactical grip. Short grip for use with weapons of close and extra close quarters combat. Ideally fits assault shotguns. Contains a compartment for batteries or SPTA.,Tango Down Stubby BGV-MK46K tactical grip. Short grip for use with weapons of close and extra close quarters combat. Ideally fits assault shotguns. Contains a compartment for batteries or SPTA.,Taktická rukojeť Tango Down Stubby BGV-MK46K. Krátká rukojeť pro použití se zbraněmi pro boj na blízko a na extra blízko. Ideálně se hodí pro útočné brokovnice. Obsahuje přihrádku na baterie nebo SPTA.,Tango Down Stubby BGV-MK46K taktischer Griff. Kurzer Griff zur Verwendung mit Nah- und Extranahkampfwaffen. Passt ideal für Sturmflinten. Enthält ein Fach für Batterien oder SPTA.,"Тактическая рукоятка Tango Down Stubby BGV-MK46K. Короткая тактическая рукоятка для использования на оружии, предназначенном для коротких и ультракоротких дистанций. Идеально подходит для штурмовых гладкоствольных ружей. Снабжена внутренним пространством для хранения мелочей или элементов питания. ",Chwyt taktyczny Tango Down Stubby BGV-MK46K. Krótki chwyt do użytku z bronią do walki w zwarciu i bardzo bliskim kontakcie. Idealnie pasuje do strzelb szturmowych. Zawiera komorę na baterie lub SPTA.,Tango Down Stubby BGV-MK46K taktikai markolat. Rövid markolat közeli és extra közeli harci fegyverekkel való használatra. Ideálisan illeszkedik a sörétes puskákhoz. Tartalmaz egy rekeszt az elemek vagy az SPTA számára.,Impugnatura tattica Tango Down Stubby BGV-MK46K. Impugnatura corta da utilizzare con armi da combattimento ravvicinato ed extra ravvicinato. Ideale per fucili d'assalto. Contiene uno scomparto per batterie o SPTA.,Empuñadura táctica Tango Down Stubby BGV-MK46K. Empuñadura corta para uso con armas de combate cuerpo a cuerpo y extra cuerpo. Idealmente se adapta a escopetas de asalto. Contiene un compartimento para baterías o SPTA.,Poignée tactique Tango Down Stubby BGV-MK46K. Poignée courte pour utilisation avec des armes de combat rapproché et très rapproché. Convient parfaitement aux fusils d'assaut. Contient un compartiment pour piles ou SPTA.,Tango Down Stubby BGV-MK46K 战术握把。短握把，适用于近距离和超近距离战斗的武器。非常适合突击霰弹枪。包含电池或 SPTA 隔间。,Tango Down Stubby BGV-MK46K タクティカル グリップ。近接戦闘および超近接戦闘の武器で使用するための短いグリップ。アサルトショットガンに最適です。バッテリーまたはSPTA用のコンパートメントが含まれています。,Punho tático Tango Down Stubby BGV-MK46K. Punho curto para uso com armas de combate corpo a corpo e extra-curto. Ideal para espingardas de assalto. Contém compartimento para baterias ou SPTA.,Tango Down Stubby BGV-MK46K 战术握把。短握把，适用于近距离和超近距离战斗的武器。非常适合突击霰弹枪。包含电池或 SPTA 隔间。,
STR_kr_weapons_attachments_foregrip_ckib_ash12_std,Foregrip ASh-12,Foregrip ASh-12,Předpažbí ASh-12,Vordergriff ASh-12,Тактическая Рукоятка АШ-12,Chwyt przedni Ash-12,Ash-12 elülső markolat,Impugnatura ASh-12,Empuñadura delantera ASh-12,Poignée avant ASh-12,前握把 ASh-12,フォアグリップ ASh-12,Foregrip ASh-12,前握把 ASh-12,
STR_kr_weapons_attachments_foregrip_ckib_ash12_std_dsc,ASh-12 vertical foregrip.,ASh-12 vertical foregrip.,ASh-12 vertikální předpažbí.,Vertikaler Vordergriff ASh-12.,Штатная тактическая рукоятка АШ-12. ,Chwyt pionowy Ash-12.,ASh-12 függőleges elülső markolat.,Impugnatura verticale ASh-12.,Empuñadura vertical ASh-12.,Poignée verticale ASh-12.,ASh-12 垂直前握把。,ASh-12縦型フォアグリップ。,Punho frontal vertical ASh-12.,ASh-12 垂直前握把。,
STR_kr_weapons_attachments_foregrip_cobra_tactical,Foregrip Cobra Tactical,Foregrip Cobra Tactical,Předpažbí Cobra Tactical,Vordergriff Cobra Tactical,Тактическая Рукоятка Cobra Tactical,Foregrip Cobra taktyczna,Foregrip Cobra Tactical,Foregrip Cobra tattico,Empuñadura Cobra Táctica,Foregrip Cobra Tactique,眼镜蛇战术前握把,フォアグリップ コブラ タクティカル,Foregrip Cobra Tático,眼镜蛇战术前握把,
STR_kr_weapons_attachments_foregrip_cobra_tactical_dsc,The Cobra tactical vertical grip integrates the form with functionality. Its hybrid-designed shape works both as a regular foregrip and as a comfortable hand stop when going with the thumb over method. The grip allows you to handle the weapon with the confidence and the organic design enables the operator to manipulate the rifle in a way that's most comfortable at any given moment.,The Cobra tactical vertical grip integrates the form with functionality. Its hybrid-designed shape works both as a regular foregrip and as a comfortable hand stop when going with the thumb over method. The grip allows you to handle the weapon with the confidence and the organic design enables the operator to manipulate the rifle in a way that's most comfortable at any given moment.,"Taktická vertikální rukojeť Cobra integruje formu s funkčností. Jeho hybridně navržený tvar funguje jak jako běžné předpažbí, tak i jako pohodlná zarážka ruky při přecházení palcem. Rukojeť vám umožňuje ovládat zbraň s jistotou a organický design umožňuje operátorovi manipulovat s puškou způsobem, který je v daný okamžik nejpohodlnější.","Der taktische Vertikalgriff von Cobra vereint Form und Funktionalität. Seine hybrid gestaltete Form dient sowohl als normaler Vordergriff als auch als bequemer Handstopp bei der Daumen-über-Methode. Der Griff ermöglicht eine sichere Handhabung der Waffe und das organische Design ermöglicht es dem Bediener, das Gewehr in jedem Moment auf die bequemste Art und Weise zu manipulieren.","Вертикальная рукоятка Cobra tactical превращает форму в функциональность. Гибридная конструкция позволяет стрелку использовать как обычный хват так и удобный упор для пальцев при хвате за цевье. Рукоятка позволяет стрелку манипулировать оружием с уверенностью, а органический дизайн позволяет удерживать оружие самым удобным для него способом. ","Taktyczny chwyt pionowy Cobra łączy w sobie formę z funkcjonalnością. Jego hybrydowy kształt sprawdza się zarówno jako zwykły chwyt przedni, jak i jako wygodny ogranicznik dłoni podczas poruszania się metodą kciuka. Chwyt pozwala na pewne trzymanie broni, a organiczna konstrukcja pozwala operatorowi manipulować karabinem w sposób najwygodniejszy w danym momencie.","A Cobra taktikai függőleges markolat egyesíti a formát a funkcionalitással. Hibrid kialakítású formája egyrészt szabályos előfogóként, másrészt kényelmes kézi megállóként működik a hüvelykujj feletti módszerrel történő mozgáskor. A markolat lehetővé teszi, hogy magabiztosan kezelje a fegyvert, az organikus kialakítás pedig lehetővé teszi a kezelő számára, hogy az adott pillanatban a legkényelmesebb módon kezelje a puskát.",L'impugnatura verticale tattica Cobra integra la forma con la funzionalità. La sua forma ibrida funziona sia come una normale impugnatura che come un comodo fermo per la mano quando si utilizza il metodo del pollice sopra. L'impugnatura consente di maneggiare l'arma con sicurezza e il design organico consente all'operatore di maneggiare il fucile nel modo più comodo in ogni momento.,El agarre vertical táctico Cobra integra la forma con la funcionalidad. Su forma de diseño híbrido funciona como un agarre delantero normal y como un cómodo tope para la mano cuando se pasa con el método del pulgar por encima. La empuñadura le permite manejar el arma con confianza y el diseño orgánico permite al operador manipular el rifle de la manera más cómoda en cualquier momento.,La poignée verticale tactique Cobra intègre la forme à la fonctionnalité. Sa forme de conception hybride fonctionne à la fois comme une poignée avant régulière et comme une butée de main confortable lorsque vous utilisez la méthode du pouce sur. La poignée vous permet de manipuler l'arme en toute confiance et la conception organique permet à l'opérateur de manipuler le fusil de la manière la plus confortable à tout moment.,Cobra 战术垂直握把将外形与功能融为一体。其混合设计的形状既可以作为常规前握把，也可以在使用拇指上方方法时作为舒适的手挡。握把让您可以自信地操作武器，而有机设计使操作员能够在任何特定时刻以最舒适的方式操纵步枪。,コブラ タクティカル バーティカル グリップは、フォルムと機能性を統合しています。ハイブリッド設計の形状は、通常のフォアグリップとしても機能し、サムオーバー方式を使用する場合の快適なハンドストップとしても機能します。グリップにより自信を持って武器を扱うことができ、有機的なデザインによりオペレーターはいつでも最も快適な方法でライフルを操作できます。,A empunhadura vertical tática Cobra integra forma com funcionalidade. Seu formato de design híbrido funciona tanto como um punho regular quanto como um batente de mão confortável ao usar o método do polegar. O punho permite manusear a arma com confiança e o design orgânico permite ao operador manipular o rifle da maneira mais confortável a qualquer momento.,Cobra 战术垂直握把将外形与功能融为一体。其混合设计的形状既可以作为常规前握把，也可以在使用拇指上方方法时作为舒适的手挡。握把让您可以自信地操作武器，而有机设计使操作员能够在任何特定时刻以最舒适的方式操纵步枪。,
STR_kr_weapons_attachments_foregrip_fortis_shift,Foregrip Foris Shift,Foregrip Foris Shift,Předpažbí Foris Shift,Vordergriff Foris Shift,Тактическая Рукоятка Foris Shift,Przesunięcie Forisa przedniego chwytu,Foris Shift előkapaszkodó,Foregrip Foris Shift,Empuñadura Foris Shift,Changement Foregrip Foris,前握把 Foris 移位,フォアグリップ フォリスシフト,Mudança Foregrip Foris,前握把 Foris 移位,
